Cũng Đành Thôi - Live,Em gọi anh lúc ba giờ sáng Em lặng nghe rất êm từng tiếng thở Hai tuần ta cách xa rồi đấy Chắc giờ anh cũng không còn bất ngờ Lời chia tay em giữ thật lâu Và giờ đây thì cũng đã nên câu Từng lời như vết cắt rất sâu Từng hạt mưa như rơi vào tim Và không gian dường như quá đắm chìm Một người gác máy lặng im Em muốn quên đi chuyện lúc xưa Anh cũng không quan tâm em hơn nữa Trong chúng ta đâu ai có quyền níu kéo được nhau Em muốn quên đi bao tháng ngày Anh cũng mong hai ta không giữ lấy Nên giấc mơ khi xưa khép lại theo gió nhẹ trôi Thôi cũng đành thôi  Một hai câu chia tay rồi thôi Và cứ thế thời gian vẫn cứ trôi Rằng tình yêu nơi đâu mất rồi Liệu rằng anh nơi phương trời xa Tình yêu đó còn vương vấn thiết tha Và lòng anh có nhớ ta Em muốn quên đi chuyện lúc xưa Anh cũng không quan tâm em hơn nữa Trong chúng ta đâu ai có quyền níu kéo được nhau Em muốn quên đi bao tháng ngày Anh cũng mong hai ta không giữ lấy Nên giấc mơ khi xưa khép lại theo gió nhẹ trôi Thôi cũng đành thôi Thôi cũng đành thôi ohooh Em muốn quên đi chuyện lúc xưa Anh cũng không quan tâm em hơn nữa Trong chúng ta đâu ai có quyền níu kéo được nhau Em muốn quên đi chuyện lúc xưa Anh cũng không quan tâm em hơn nữa Trong chúng ta đâu ai có quyền níu kéo được nhau Em muốn quên đi bao tháng ngày Anh cũng mong hai ta cũng giữ lấy Ahahahhuhhhhhh  Nên giấc mơ khi xưa khép lại theo gió nhẹ trôi Thôi cũng đành thôi 
Tay Vớt Ánh Trăng - Live,Em đưa tay xuống dưới sông để vớt ánh trăng Thì ra chỉ là ánh trăng lừa dối Em đưa cho anh trái tim còn những ngây thơ Mà anh trói em bằng những dối lừa Anh mang tình ca da diết khiến em say lòng say lòng Anh mang lời yêu tha thiết khiến em bật khóc Anh đi để lại hình bóng khiến em đau lòng Em đưa tay xuống dưới sông để vớt ánh trăng Giờ đây em ôm đàn và hát bài ca ngày xưa anh hát Hát cho chuyện tình đắm say chúng mình Chỉ là những vấn vương vô nghĩa tựa như lời yêu xưa kia Thế sao em còn ngồi hát với ánh trăng  Em đưa tay xuống dưới sông để vớt ánh trăng Thì ra chỉ là ánh trăng lừa dối Em đưa cho anh trái tim còn những ngây thơ Mà anh trói em bằng những dối lừa Anh mang tình ca da diết khiến em say lòng Mang lời yêu tha thiết khiến em bật khóc Anh đi để lại hình bóng khiến em đau lòng Em đưa tay xuống dưới sông để vớt ánh trăng Giờ đây em ôm đàn và hát bài ca ngày xưa anh hát Hát cho chuyện tình đắm say chúng mình Chỉ là những vấn vương vô nghĩa tựa như lời yêu xưa kia Thế sao em còn ngồi hát với ánh trăng với ánh trăng Giờ đây em ôm đàn và hát bài ca ngày xưa anh hát Hát cho chuyện tình đắm say chúng mình Chỉ là những vấn vương vô nghĩa tựa như lời yêu xưa kia Thế sao em còn ngồi hát với ánh trăng Thế sao em còn ngồi với với ánh trăng 
Ngọt Ngào Ở Ngày Mai,Anh chi em tôi còn vọi hon bình minh Hai bàn tay vạy thôi nhung cầm ca mọt hành tinh Ngày nào cung nhìn lên mạt trời sáng lên Nhìn dòng đời và tư thầm lòng mình phai ráng lên Đôi vai tôi gầy lo toan trong ngày Vất va nhu vầy đâu có xui đâu có hên Khi thu vô dòng nguời và luân phiên dòng tiền Mà đó là còn chua nói tới nhưng thứ viẹc không có tên Có nhưng khó khan lo lắng ban đầu Đôi khi chăng ai thấu hiêu Bơ ngơ điều chua thê quen Ban ơ đó dù yếu thế nhung không yếu lòng Cố gắng vuon lên môi ngày Xuyên qua điều đang trơ ngan Bằng niềm tin không lung lay ban đôi thay cuọc đời Và với uớc mo khát khao ban xây mọng lớn lao Nhìn lai từ điều nho bé môi ngày miẹt mài Đã thành mọt hành trình dài ban đang buớc tiếp Nu cuời vì thêm ấm áp sung túc cho ngôi nhà Và thêm đóa hoa xinh tuoi ban mang đến cho mình Làm viẹc thạt nhiều đê ban vuon xa hon Đê ban bay cao hon Đê ban có thứ xứng đáng hon Ngot ngào ơ ngày mai Mà em oi đời này ngắn Đúng là con đuờng kia đâu phai lúc nào cung may mắn Sau mọt đon đã chốt có chắc là chắc an Sau hôm nay khách có tang nhu giá xang Tôi thuong đôi vai em gầy nhiều lo toan trong ngày Tôi và em cùng trôi vào dòng đời ráng lên Ca thành phố cùng em nhìn mạt trời sáng lên Cùng anh chi em cua tôi khi bình minh đến Bằng niềm tin không lung lay ban đôi thay cuọc đời mang tình yêu trong tay Và với uớc mo khát khao ban xây mọng lớn lao Nhìn lai từ điều nho bé môi ngày miẹt mài Đã thành mọt hành trình dài ban đang bước tiếp Nu cuời vì thêm ấm áp sung túc cho ngôi nhà Và thêm đóa hoa xinh tuoi ban mang đến cho mình Làm viẹc thạt nhiều đê ban vuon xa hon đê ban bay cao hon Đê ban có thứ xứng đáng hon Ngot ngào ơ ngày mai Nu cuời vì thêm ấm áp sung túc cho ngôi nhà Và thêm đóa hoa xinh tuoi ban mang đến cho mình Làm viẹc thạt nhiều đê ban vuon xa hon đê ban bay cao hon Đê ban có thứ xứng đáng hon Ngot ngào ơ ngày mai Đê ban sẽ có thứ xứng đáng hon Ngot ngào ơ ngày mai 
Hẹn Ước Từ Hư Vô - Live,Mình không tìm nhau Mà vô tình vương vấn sau tiếng ca chiều mưa Thân thương trong từng đong đưa mắt môi về em Mùa xuân ấy có nụ cười lấp lánh Ở gần bên anh Em vui như bao nhiêu lâu trở lại mùa yêu đầu Vẫn bỡ ngỡ ban sơ ở trong từng ánh nhìn Vẫn da diết nỗi ưu phiền khi phải chờ mong Hay là đôi ta hẹn ước từ hư vô Để gặp nhau chỉ khi vừa ngày giờ Anh và em bước chung đoạn đường đời Mình yêu nhau có trời đất biết Ta được chung đôi như suối được trăng thanh Dịu êm yên lắng như em an bình mọi giây với anh Sau những cô đơn tổn thương đã xa Ta lại thấy con tim hiền hòa Hạt mưa trên mái hiên Lâu nay thi thoảng nhắc em không quên ngày nên thơ Riêng em chỉ biết cảm ơn nhân duyên chuyện hôm qua Vì mùa hoa ấy anh sang thăm em Cùng một tình yêu lớn lao Bàn tay đôi vai Đưa em tự do bước theo giấc mơ chẳng lo sợ chẳng lo sợ Và cách chúng ta thấu hiểu nhau Ân cần muôn khoảnh khắc Chẳng thua gì phép màu Hay là đôi ta hẹn ước từ hư vô Để gặp nhau chỉ khi vừa ngày giờ Anh và em bước chung đoạn đường đời Mình yêu nhau có trời đất biết Ta được chung đôi như suối được trăng thanh Dịu êm yên lắng như em an bình mọi giây với anh Sau những cô đơn tổn thương đã xa Ta lại thấy con tim hiền hòa Hay là đôi ta hẹn ước từ hư vô Để gặp nhau chỉ khi vừa ngày giờ Anh và em bước chung đoạn đường đời Mình yêu nhau có trời đất biết Ta được chung đôi như suối được trăng thanh Dịu êm yên lắng như em an bình mọi giây với anh Sau những cô đơn tổn thương đã xa Ta lại thấy con tim hiền hòa Sau những cô đơn tổn thương đã xa Ta lại thấy con tim hiền hòa 
Ngày Chưa Giông Bão - Live,Vì ta yêu nhau như cơn sóng vỗ Quẩn quanh bao năm không buông mặt hồ Thuyền anh đi xa bờ thì em vẫn dõi chờ Duyên mình dịu êm thơ rất thơ Và anh nâng niu em như đóa hoa Còn em xem anh như trăng ngọc ngà Tự do như mây vàng mình phiêu du non ngàn Dẫu trần gian bao la đến đâu nơi anh là nhà  Khi anh qua thung lũng Và bóng đêm ghì bàn chân Đời khiến anh chẳng còn nhiều luyến lưu Em mong lau mắt anh khô Ta yêu sai hay đúng Còn thấy đau là còn thương Khi bão qua rồi biết đâu sẽ đi tới nơi của ngày đầu Hết muộn sầu  Lạc bước giữa những đam mê tăm tối Liệu máu vẫn nóng nơi tim bồi hồi Người năm xưa đâu rồi lạnh băng tiếng khóc cười Anh ở nơi xa xôi vô lối Mặt đất níu giữ đôi chân chúng ta Thì bay lên trong cơn mơ kỳ lạ Ở đó anh vẫn là người yêu thương chan hòa Dẫu trần gian cho anh đắng cay nơi em là nhà  Khi anh qua thung lũng Và bóng đêm ghì bàn chân Đời khiến anh chẳng còn nhiều luyến lưu Em mong lau mắt anh khô Ta yêu sai hay đúng Còn thấy đau là còn thương Khi bão qua rồi biết đâu sẽ đi tới nơi của ngày đầu Hết muộn sầu  Khi anh qua thung lũng Và bóng đêm ghì bàn chân Đời khiến anh chẳng còn nhiều luyến lưu Em mong lau mắt anh khô Ta yêu sai hay đúng Còn thấy đau là còn thương Khi bão qua rồi biết đâu sẽ đi tới nơi của ngày đầu Hết muộn sầu 
Chuyện Rằng - Live,Chuyện rằng năm tháng cứ trôi chẳng thấy quay lại Tại sao em vẫn đau khi nhìn thấy anh bên ai Liệu rằng câu hát Anh yêu em Viết ra không tên Khi đêm ùa vào ôm chặt em Oh Im just a girl Chẳng thể là quá muộn khi nói lời yêu một người  Chẳng thể là quá muộn khi ta hối tiếc một đời Những lời yêu sao quá khó khăn  Kìa những tháng năm dài ta đã cùng đi bên nhau Nhìn đóa môi em cười cho ta một vết thương sâu Những lời yêu sao quá khó khăn Chuyện rằng huhhuhuhhuhuhhuhh mơ màng Anh giam yêu dấu trong em từng phút yên lặng Là từng câu hát Anh yêu em Viết ra không tên Khi đêm đen về Chuyện rằng năm tháng cứ trôi chẳng thấy quay lại Tại sao anh vẫn đau khi nhìn thấy em bên ai Liệu rằng câu hát Anh yêu em Sẽ đến bên em Khi đêm ùa vào ôm chặt em Oh Im just a boy  Tìm thấy nhau cả rồi nhưng trong lòng vẫn chơi vơi Thả tiếng yêu không lời trôi theo ngọn gió muôn nơi Những lời yêu sao quá khó khăn Chuyện rằng huhhuhuhhuhuhhuhh mơ màng Anh giam yêu dấu trong anh từng phút yên lặng Là từng câu hát Anh yêu em Viết ra không tên Khi đêm đen về Chuyện rằng năm tháng cứ trôi chẳng thấy quay lại Tại sao em vẫn đau khi nhìn thấy anh bên ai Liệu rằng câu hát Anh yêu em Sẽ đến bên em Khi đêm ùa vào ôm chặt em Oh Im just a girl Ngập ngừng lời yêula la love Có phải quá trễ để trao về em khôngla la love Có phải tiếng khóc cô đơn vì emla la love Đã đến lúc hát lên câu ca này Chuyện rằng năm tháng uhhuhuhhuhh mơ màng Anh giam yêu dấu trong anh từng phút yên lặng Là từng câu hát Anh yêu em Viết ra không tên Khi đêm đen về Chuyện rằng năm tháng cứ trôi chẳng thấy quay lại Tại sao anh vẫn đau khi nhìn thấy em bên anh Liệu rằng câu hát Anh yêu em Sẽ đến bên em Khi đêm ùa vào ôm chặt em Oh Im just a girl 
Sự Thật Ta Yêu Nhau - Live,Khi em xa anh sao còn không muốn lấp lánh Ánh trăng dường như tối hơn Khi em cô đơn trong lòng em sao hoang mang Nhớ anh và bao nghĩ suy Tình yêu đôi ta là vì tình yêu đôi ta Một tình yêu như mới bắt đầu Ngày ta quen nhau và rồi ngày ta yêu nhau Thật gần mà lại xa xôi Phải làm sao để nói với anh Phải làm sao để xoá bức tranh Người cứ ra đi phương nào mình cứ quên nhau câu chào Yêu thương rồi lại xa nhau Phải làm sao để giữ lấy anh Phải làm sao để vẽ bức tranh Người phía xa kia trở về từ tiếng yêu không não nề Về bên em cho em phút giây yên bình  Ta không yêu nhau như người ta đang yêu nhau Đắm say chỉ là phút giây Đôi khi suy tư em ngồi viết lên trang thư Nhớ anh và bao nghĩ suy Và ta yêu nhau sự thật là ta yêu nhau Một tình yêu như mới bắt đầu Nhiều khi anh đi một mình ngồi trong cô đơn Nhìn lại tình yêu chúng ta Phải làm sao để nói với anh Phải làm sao để xoá bức tranh Người cứ ra đi phương nào mình cứ quên nhau câu chào Yêu thương rồi lại xa nhau Phải làm sao để giữ lấy anh Phải làm sao để vẽ bức tranh Người phía xa kia trở về từ tiếng yêu không não nề Về bên em cho em phút giây yên bình  Khi anh bên em trăng dường như muốn lấp lánh Khi anh bên em trong lòng em thôi hoang mang 
Mong Manh Tình Về - Live,Mong manh như hương ai quen dịu dàng thoáng qua Khi anh lang thang bên em đường chiếu nắng xa Nghe trong tim anh còn bao lời cảm ơn lời xin lỗi Run run đôi vai em đau ngày nào bước đi Tim yêu em trao cho anh mất đi sao đành Nghe bao yêu thương lâu nay dặn lòng cố quên Giờ lại thiết tha Long lanh sương ru trong đêm một màu mắt nâu Ánh mắt ấy vẫn chất chứa cả trời ước mơ Anh mơ tay trong tay nhau mình lại như chưa từng xa cách Cho anh hôn đôi mi em ướt bao đêm rồi Cho anh ôm bao cô đơn thắt tim em gầy Cho anh yêu em hơn xưa ngày buồn đã qua lại có nhau Nhớ ngày nào mình giận hờn nhau phút ngây khờ Lời nói lỡ mang đi tình yêu trách sao để mất nhau Thế rồi một ngày kia nhận ra biết ta vụng dại Người đã đến cho anh quên đi nỗi đau ngày đó Bao nhiêu cơn mơ anh mơ chỉ để thấy em Bao nhiêu môi hôn dư âm ngọt ngào vẫn đây Miên man tan trong vòng tay một hạnh phúc sao thật bình yên thế Nắng vẫn ấm áp gió hát từng chiều phố quen Hương ai mong manh như sương giờ lại vấn vương Run run đôi tim ngân lên ngập ngừng khúc ca tình đắm say Nhớ ngày nào mình giận hờn nhau phút ngây khờ Lời nói lỡ mang đi tình yêu trách sao để mất nhau Thế rồi một ngày kia nhận ra biết ta vụng dại Người đã đến cho anh quên đi nỗi đau ngày đó Bao nhiêu cơn mơ anh mơ chỉ để thấy em Bao nhiêu môi hôn dư âm ngọt ngào vẫn đây Miên man tan trong vòng tay một hạnh phúc sao thật bình yên thế Nắng vẫn ấm áp gió hát từng chiều phố quen Hương ai mong manh như sương giờ lại vấn vương Run run đôi tim ngân lên ngập ngừng khúc ca tình đắm say Nắng vẫn ấm áp gió hát từng chiều phố quen Hương ai mong manh như sương giờ lại vấn vương Run run đôi tim ngân lên ngập ngừng khúc ca tình đắm say 
Cuộc Hẹn Trong Mơ,Một ngày mộng mơ mơ giấc mơ đôi ta gần nhau Chỉ là khoảnh khắc mà em thấy lâu thật lâu Cánh chim bay qua khung trời đông Chiếc lá rơi rơi ngang dòng sông Mình hẹn qua sau cơn bão giông chúng ta gặp nhau Dù đã lỡ bao nhiêu thời gian nhưng giấc mơ vẫn không vội tàn Giờ em cố lấp hết che giấu đi ngàn nhớ mong Khắc trong tim bao nhiêu lời yêu ngàn ký ức không phai tàn theo Mình hẹn nhau trong giấc mơ về nhau Dù đã lỡ bao nhiêu thời gian nhưng giấc mơ vẫn không vội tàn Tình yêu đó sẽ mãi tha thiết đến ngàn kiếp sau Dẫu mai đây ta không còn nhau thì trong tim ta vẫn đậm sâu Dù ra sao ta vẫn mơ về nhau Và mình gặp gỡ như giấc mơ đôi ta từng mơ Chìm trong nỗi nhớ mình đã lỡ bao ngày qua Muốn bên nhau không bao giờ xa Như ánh trăng sẽ không nhạt nhòa Và vì sao trên cao sẽ không bao giờ vụt tắt Dù đã lỡ bao nhiêu thời gian nhưng giấc mơ vẫn không vội tàn Giờ em cố lấp hết che giấu đi ngàn nhớ mong Khắc trong tim bao nhiêu lời yêu ngàn ký ức không phai tàn theo Mình hẹn nhau trong giấc mơ về nhau Dù đã lỡ bao nhiêu thời gian nhưng giấc mơ vẫn không vội tàn Tình yêu đó sẽ mãi tha thiết đến ngàn kiếp sau Dẫu mai đây ta không còn nhau thì trong tim ta vẫn đậm sâu Dù ra sao ta vẫn mơ về nhau Dù ra sao ta vẫn mơ về nhau Dù ra sao ta vẫn sẽ gặp nhau 
Nước Ngoài - Live,Mẹ ơi con mới xong việc đã lâu con chưa gọi về Nhà ta thế nào Cha có đỡ đau ốm hơn không Mùa đông đã sang rồi mẹ nhóm than ấm cha ngồi Để vơi gió rét bên trời Mẹ bên đây tuyết rơi nhiều lê chân về sau ca chiều Ở nơi xứ người cũng may sống chung mấy anh em Chỉ lúc chẳng yên bình bạn con nó khóc một mình Làm ai cũng nhớ gia đình Ngày chưa biết quê ta nghèo chỉ mơ bước đi muôn nẻo Thả đôi cánh bay xa hoài ô ô nước ngoài Giờ con đã ở nơi này cuộc sống khác xa quá vậy Chỉ mong bớt lo tương lai Vì con đi kiếm đồng tiền cho thôi ngày sau bần tiện Nên xin mẹ chớ buồn phiền  Ngày hôm qua ai nhắn gửi cô bên nhà lấy chồng rồi Người ta nói đợi nên khi biết con thấy chơi vơi Tuổi xuân có mấy hồi tha phương nổi trôi dòng đời Nên con nào dám nặng lời Vì khi biết quê ta nghèo rủ nhau bước đi muôn nẻo Tìm đất khách mong làm giàu mai sau ngẩng đầu Mà đâu biết trong đêm dài người không muốn ta ở lại Chạy trong giá băng mệt nhoài tâm tư hoang mang Dù nghe lắm nỗi bi hài người ta vẫn đi nước ngoài Rời xa bữa cơm ở nhà qua nơi khác lạ Và trong lớp thanh niên làng người may mắn đi vững vàng Còn ai trắng tay quay về Mẹ nghe không tiếng ồn ào anh em họ gửi lời chào Mẹ chớ nghĩ ngợi bên này chúng con mến thương nhau Một mai nắng xanh trời rời nơi nương náu một thời Về trong đôi mắt rạng ngời 
